"SP_BookingNumber","SP_Destination","SP_PaidCurrency","SP_Paid","SP_TourDate"
"S9999999","TST","CZK","100,00","2022-08-31"
"S9999999","TST","EUR","100,00","2022-08-31"
"S9999999","TST","GBP","100,00","2022-08-31"
"S9999999","TST","HUF","100,00","2022-08-31"
"S9999999","TST","RUB","100,00","2022-08-31"
"S9999999","TST","RUB","100,00","2022-08-31"
"S9999999","TST","USD","100,00","2022-08-31"
"S0067486","ZNZ","PLN","399,07","2022-01-11"
"S0067691","RMF","PLN","685,35","2022-01-14"
"S0067688","SID","EUR","512,95","2022-01-13"
"S0067687","FNC","EUR","486,86","2022-01-11"
"S0067686","SID","EUR","512,95","2022-01-13"
"S0067685","SID","EUR","169,05","2022-01-11"
"S0067640","FUE","PLN","554,24","2022-01-14"
"S0067442","RMF","PLN","90,36","2022-01-05"
"S0067633","FUE","PLN","484,45","2022-01-13"
"S0067628","SID","EUR","169,05","2022-01-11"
"S0067625","SID","EUR","217,35","2022-01-14"
"S0067624","SID","EUR","456,43","2022-01-10"
"S0067624","SID","EUR","326,02","2022-01-14"
"S0067623","SID","EUR","169,05","2022-01-11"
"S0067622","LPA","PLN","463,68","2022-01-11"
"S0067618","HRG","PLN","606,6","2022-01-11"
"S0067616","RMF","PLN","464,84","2022-01-11"
"S0067486","ZNZ","PLN","462,88","2022-01-13"
"S0067611","ZNZ","PLN","446,95","2022-01-11"
"S0067609","ZNZ","PLN","510,82","2022-01-13"
"S0067606","LPA","PLN","231,84","2022-01-11"
"S0067605","ZNZ","PLN","462,88","2022-01-13"
"S0067605","ZNZ","PLN","399,07","2022-01-11"
"S0067604","ZNZ","PLN","462,88","2022-01-13"
"S0067604","ZNZ","PLN","399,07","2022-01-11"
"S0067603","ACE","PLN","560,28","2022-01-13"
"S0067601","ZNZ","PLN","383,11","2022-01-13"
"S0067569","ZNZ","PLN","766,24","2022-01-13"
"S0067569","ZNZ","PLN","5427,43","2022-01-13"
"S0067596","SID","EUR","260,82","2022-01-13"
"S0067595","SID","EUR","304,29","2022-01-10"
"S0067594","SID","EUR","169,05","2022-01-11"
"S0067593","SID","EUR","304,29","2022-01-10"
"S0067593","SID","EUR","512,95","2022-01-11"
"S0067593","SID","EUR","217,35","2022-01-13"
"S0067591","SID","EUR","304,29","2022-01-10"
"S0067591","SID","EUR","260,82","2022-01-12"
"S0067590","SID","EUR","456,43","2022-01-10"
"S0067590","SID","EUR","769,42","2022-01-11"
"S0067589","SID","EUR","304,29","2022-01-10"
"S0067588","SID","EUR","217,35","2022-01-12"
"S0067587","SID","EUR","304,29","2022-01-10"
"S0067587","SID","EUR","512,95","2022-01-13"
"S0067405","RMF","PLN","60,13","2022-01-09"
"S0067586","SID","EUR","464,89","2022-01-11"
"S0067583","SID","EUR","152,14","2022-01-10"
"S0067582","SID","EUR","304,29","2022-01-10"
"S0067582","SID","EUR","512,95","2022-01-13"
"S0067581","SID","EUR","169,05","2022-01-11"
"S0067580","SID","EUR","512,95","2022-01-11"
"S0067579","SID","EUR","304,29","2022-01-10"
"S0067579","SID","EUR","260,82","2022-01-12"
"S0067577","SID","EUR","769,42","2022-01-13"
"S0067576","SID","EUR","676,2","2022-01-11"
"S0067565","SLL","PLN","804,53","2022-01-11"
"S0067560","ZNZ","EUR","766,24","2022-01-13"
"S0067558","SLL","PLN","245,85","2022-01-11"
"S0067558","SLL","PLN","62,59","2022-01-09"
"S0067558","SLL","PLN","804,53","2022-01-10"
"S0067541","SNU","PLN","503,16","2022-01-14"
"S0067540","TFS","PLN","533,71","2022-01-12"
"S0067539","PUJ","PLN","450,22","2022-01-11"
"S0067537","RMF","PLN","4767,69","2022-01-11"
"S0067534","LPA","PLN","463,68","2022-01-13"
"S0067529","SID","PLN","169,05","2022-01-11"
"S0067528","SID","PLN","152,14","2022-01-12"
"S0067526","PUJ","PLN","1184,8","2022-01-13"
"S0067514","FUE","EUR","377,71","2022-01-12"
"S0067523","SLL","PLN","409,74","2022-01-11"
"S0067519","CMB","PLN","1013,11","2022-01-10"
"S0067515","FUE","EUR","672,34","2022-01-08"
"S0067503","HRG","PLN","606,58","2022-01-11"
"S0067503","HRG","PLN","287,33","2022-01-09"
"S0067498","SLL","PLN","536,37","2022-01-10"
"S0067498","SLL","PLN","163,9","2022-01-09"
"S0067497","FUE","PLN","500,87","2022-01-08"
"S0067492","PUJ","PLN","450,22","2022-01-06"
"S0067492","PUJ","PLN","450,22","2022-01-06"
"S0067491","SLL","PLN","327,78","2022-01-11"
"S0067485","ZNZ","PLN","478,84","2022-01-13"
"S0067485","ZNZ","PLN","415,07","2022-01-11"
"S0067485","ZNZ","PLN","542,72","2022-01-14"
"S0056710","AGP","PLN","362,25","2021-08-22"
"S0067483","LPA","PLN","533,71","2022-01-11"
"S0067480","SNU","EUR","251,56","2022-01-11"
"S0067480","SNU","EUR","512,94","2022-01-09"
"S0067479","ZNZ","PLN","909,88","2022-01-14"
"S0067477","ZNZ","PLN","766,24","2022-01-13"
"S0067475","HRG","PLN","574,67","2022-01-09"
"S0067475","HRG","PLN","127,68","2022-01-08"
"S0067473","LPA","PLN","258,65","2022-01-13"
"S0067473","LPA","PLN","225,8","2022-01-08"
"S0067471","SNU","PLN","1025,88","2022-01-09"
"S0067470","RMF","PLN","196,66","2022-01-14"
"S0067470","RMF","PLN","685,35","2022-01-13"
"S0067462","ZNZ","PLN","403,42","2022-01-11"
"S0067462","ZNZ","PLN","564,78","2022-01-14"
"S0067415","ZNZ","PLN","403,42","2022-01-11"
"S0067415","ZNZ","PLN","564,78","2022-01-14"
"S0067454","ACE","PLN","348,61","2022-01-07"
"S0067453","RMF","PLN","60,22","2022-01-12"
"S0067450","ZNZ","EUR","420,64","2022-01-06"
"S0067449","TFS","PLN","445,29","2022-01-08"
"S0067448","ZNZ","PLN","613,17","2022-01-14"
"S0067446","RMF","EUR","451,82","2022-01-07"
"S0067444","YEI","EUR","156,14","2022-01-04"
"S0067442","RMF","PLN","298,22","2022-01-07"
"S0067429","CMB","PLN","378,66","2022-01-06"
"S0067425","YEI","EUR","156,14","2022-01-04"
"S0067423","RMF","PLN","692,8","2022-01-05"
"S0067420","FUE","PLN","695,27","2022-01-08"
"S0067419","HRG","PLN","1161,83","2022-01-09"
"S0067419","HRG","PLN","1161,83","2022-01-11"
"S0067418","RMF","PLN","692,8","2022-01-05"
"S0067416","PFO","PLN","476,05","2022-01-05"
"S0067410","YEI","EUR","392,36","2022-01-04"
"S0067409","YEI","EUR","312,29","2022-01-04"
"S0067408","ZNZ","PLN","451,78","2022-01-11"
"S0067407","ZNZ","PLN","516,37","2022-01-06"
"S0067405","RMF","PLN","691,27","2022-01-05"
"S0067405","RMF","PLN","240,43","2022-01-09"
"S0067405","RMF","PLN","498,94","2022-01-07"
"S0067404","ACE","PLN","566,37","2022-01-13"
"S0067399","HRG","PLN","579,62","2022-01-09"
"S0067393","AYT","PLN","304,28","2022-01-03"
"S0067392","RMF","PLN","864,1","2022-01-05"
"S0067390","RMF","PLN","864,1","2022-01-05"
"S0067388","ZNZ","PLN","419,7","2022-01-07"
"S0067387","ZNZ","PLN","450,85","2022-01-04"
"S0067385","RMF","PLN","120,22","2022-01-05"
"S0067384","SID","PLN","307,6","2022-01-10"
"S0067354","ZNZ","PLN","676,25","2022-01-04"
"S0067354","ZNZ","PLN","9306,48","2022-01-08"
"S0067378","ZNZ","EUR","402,53","2022-01-04"
"S0067378","ZNZ","EUR","563,52","2022-01-07"
"S0067373","HRG","PLN","314,43","2022-01-03"
"S0067372","RMF","PLN","295,02","2022-01-07"
"S0067372","RMF","PLN","453,87","2022-01-10"
"S0067371","RMF","PLN","453,87","2022-01-11"
"S0067371","RMF","PLN","295,02","2022-01-07"
"S0067370","SID","EUR","85,44","2022-01-04"
"S0067369","SID","EUR","307,6","2022-01-03"
"S0067369","SID","EUR","518,53","2022-01-04"
"S0067369","SID","EUR","263,65","2022-01-05"
"S0067367","ACE","PLN","507,78","2022-01-03"
"S0067367","ACE","PLN","572,72","2022-01-07"
"S0067366","SID","EUR","1037,04","2022-01-02"
"S0067365","SID","EUR","307,6","2022-01-03"
"S0067365","SID","EUR","263,65","2022-01-05"
"S0067364","SID","EUR","518,53","2022-01-02"
"S0067364","SID","EUR","205,06","2022-01-04"
"S0067363","SID","EUR","461,4","2022-01-03"
"S0067362","SID","EUR","307,6","2022-01-03"
"S0067361","RMF","PLN","833,54","2022-01-06"
"S0067360","ZNZ","PLN","486,28","2022-01-06"
"S0067360","ZNZ","PLN","421,4","2022-01-11"
"S0067360","ZNZ","PLN","551,15","2022-01-14"
"S0067356","ZNZ","PLN","615,96","2022-01-07"
"S0067353","RMF","PLN","242,04","2022-01-02"
"S0067350","RMF","PLN","869,91","2022-01-05"
"S0067349","PUJ","PLN","668,12","2022-01-04"
"S0067348","SNU","PLN","510,9","2022-01-06"
"S0067347","SNU","PLN","1041,71","2022-01-08"
"S0067346","FUE","PLN","771,93","2022-01-07"
"S0067345","SNU","PLN","689,65","2022-01-10"
"S0067339","RMF","PLN","295,02","2022-01-07"
"S0067339","RMF","PLN","453,87","2022-01-10"
"S0067338","RMF","PLN","453,87","2022-01-10"
"S0067336","RMF","PLN","347,98","2022-01-05"
"S0067333","SNU","PLN","510,9","2022-01-14"
"S0067332","SNU","PLN","1645,47","2022-01-08"
"S0067331","SLL","PLN","332,86","2022-01-11"
"S0067330","RMF","PLN","695,91","2022-01-05"
"S0067329","HRG","PLN","583,56","2022-01-04"
"S0067324","RMF","PLN","695,91","2022-01-05"
"S0067323","FNC","PLN","593,71","2022-01-05"
"S0067323","FNC","PLN","367,17","2022-01-07"
"S0067318","CUN","PLN","995,88","2022-01-02"
"S0067315","FNC","EUR","550,74","2022-01-07"
"S0067315","FNC","EUR","585,9","2022-01-03"
"S0067313","HRG","PLN","583,54","2022-01-11"
"S0067308","RMF","PLN","121,04","2022-01-11"
"S0067307","SNU","PLN","1041,71","2022-01-03"
"S0067306","SNU","PLN","510,9","2022-01-04"
"S0067305","SNU","PLN","1041,68","2022-01-03"
"S0067304","ACE","PLN","507,78","2022-01-03"
"S0067299","RMF","PLN","1331,34","2022-01-04"
"S0067299","RMF","PLN","453,87","2022-01-09"
"S0067295","PUJ","PLN","724,17","2021-12-30"
"S0067293","TFS","PLN","445,29","2022-01-08"
"S0067291","SNU","PLN","1041,68","2022-01-03"
"S0067284","HRG","PLN","583,54","2022-01-11"
"S0067283","SNU","PLN","510,9","2022-01-04"
"S0067282","LPA","PLN","373,52","2022-01-07"
"S0067282","LPA","PLN","759,47","2022-01-02"
"S0067280","LPA","PLN","709,67","2022-01-05"
"S0067279","SNU","PLN","2083,41","2022-01-02"
"S0067278","SNU","PLN","1645,47","2022-01-04"
"S0067278","SNU","PLN","1645,47","2022-01-04"
"S0067277","TFS","PLN","499,97","2022-01-03"
"S0067277","TFS","PLN","1168,23","2022-01-05"
"S0067276","RMF","PLN","695,9","2022-01-05"
"S0067266","ACE","PLN","390,6","2022-01-03"
"S0067266","ACE","PLN","448,21","2021-12-31"
"S0067266","ACE","PLN","215,81","2022-01-02"
"S0067265","ZNZ","PLN","3453,67","2022-01-06"
"S0067265","ZNZ","PLN","5658,17","2022-01-06"
"S0067235","ZNZ","EUR","405,26","2022-01-04"
"S0067235","ZNZ","EUR","567,28","2022-01-07"
"S0067262","HRG","PLN","583,54","2022-01-04"
"S0067262","HRG","PLN","259,33","2022-01-02"
"S0067261","SNU","PLN","1041,71","2022-01-02"
"S0067261","SNU","PLN","497,61","2022-01-04"
"S0067259","RMF","PLN","1043,88","2022-01-05"
"S0067258","FNC","PLN","468,72","2021-12-29"
"S0067257","HRG","PLN","1167,07","2022-01-04"
"S0067255","RMF","EUR","695,91","2021-12-28"
"S0067253","RMF","PLN","1043,88","2022-01-05"
"S0067252","FNC","PLN","468,72","2021-12-29"
"S0067249","HRG","PLN","615,93","2022-01-04"
"S0067248","HRG","PLN","291,78","2022-01-02"
"S0067246","HRG","PLN","615,93","2022-01-04"
"S0067245","HRG","PLN","291,78","2022-01-02"
"S0067242","LPA","PLN","703,08","2021-12-30"
"S0067240","ZNZ","PLN","680,79","2022-01-04"
"S0067239","SID","PLN","307,6","2022-01-03"
"S0067230","LPA","PLN","1286,54","2022-01-02"
"S0067226","ZNZ","CZK","453,83","2022-01-04"
"S0067225","ZNZ","CZK","422,53","2022-01-02"
"S0067222","ZNZ","CZK","389,04","2021-12-30"
"S0067216","HRG","PLN","291,77","2022-01-02"
"S0067215","FNC","PLN","214,83","2022-01-02"
"S0067215","FNC","PLN","214,83","2022-01-04"
"S0067215","FNC","PLN","167,96","2022-01-07"
"S0067215","FNC","PLN","144,52","2022-01-05"
"S0067214","SNU","PLN","255,44","2022-01-04"
"S0067214","SNU","PLN","520,82","2022-01-02"
"S0067213","HRG","PLN","583,54","2022-01-02"
"S0067213","HRG","PLN","583,54","2022-01-04"
"S0067204","ZNZ","PLN","453,83","2021-12-28"
"S0067201","PUJ","PLN","668,12","2022-01-12"
"S0067198","RMF","PLN","695,9","2022-01-05"
"S0067196","RMF","PLN","695,91","2022-01-05"
"S0067195","SLL","PLN","416,04","2021-12-28"
"S0067194","RMF","PLN","695,9","2022-01-05"
"S0067192","SLL","USD","907,72","2021-12-29"
"S0067191","SLL","USD","907,72","2021-12-29"
"S0067191","SLL","USD","968,24","2021-12-28"
"S0067078","ZNZ","PLN","470,02","2021-12-30"
"S0067078","ZNZ","PLN","405,26","2021-12-28"
"S0067185","RMF","PLN","695,91","2021-12-29"
"S0067184","LPA","PLN","290,51","2021-12-28"
"S0067176","ACE","PLN","572,72","2021-12-27"
"S0067172","ACE","PLN","898,38","2021-12-28"
"S0067171","SNU","PLN","1645,47","2022-01-04"
"S0067167","AYT","PLN","392,36","2022-01-07"
"S0067166","RMF","PLN","1391,85","2021-12-29"
"S0067165","RMF","PLN","1043,88","2021-12-29"
"S0067162","LPA","PLN","703,08","2021-12-28"
"S0067157","SLL","PLN","593,03","2021-12-29"
"S0067154","ZNZ","PLN","615,96","2022-01-07"
"S0067151","ZNZ","PLN","3453,67","2021-12-30"
"S0067149","HRG","PLN","729,42","2021-12-28"
"S0067147","ZNZ","PLN","794,23","2021-12-28"
"S0067145","HRG","PLN","291,78","2022-01-04"
"S0067138","HRG","PLN","332,27","2021-12-25"
"S0067136","HRG","PLN","731,05","2021-12-26"
"S0067135","ZNZ","PLN","5658,17","2022-01-06"
"S0067134","HRG","PLN","429,57","2021-12-27"
"S0067133","ACE","PLN","365,21","2021-12-28"
"S0067128","SLL","PLN","499,25","2021-12-26"
"S0067128","SLL","PLN","1543,14","2021-12-27"
"S0067128","SLL","PLN","1452,34","2021-12-28"
"S0067128","SLL","PLN","889,59","2021-12-29"
"S0067128","SLL","PLN","1361,59","2022-01-02"
"S0067126","SNU","PLN","2083,41","2021-12-27"
"S0067125","ZNZ","EUR","3674,1","2021-12-30"
"S0067124","ZNZ","PLN","794,23","2021-12-28"
"S0067124","ZNZ","PLN","923,91","2021-12-30"
"S0067123","ZNZ","EUR","3674,1","2021-12-30"
"S0067120","FUE","EUR","414,04","2021-12-23"
"S0067121","ZNZ","PLN","518,7","2021-12-23"
"S0067121","ZNZ","PLN","615,96","2022-01-07"
"S0067119","FNC","PLN","312,48","2021-12-30"
"S0067118","ASR","PLN","944,86","2022-01-06"
"S0067115","ZNZ","PLN","778,03","2021-12-23"
"S0067115","ZNZ","PLN","923,91","2022-01-07"
"S0067114","ZNZ","PLN","422,53","2021-12-23"
"S0067114","ZNZ","PLN","422,53","2021-12-23"
"S0067066","SNU","PLN","1041,71","2021-12-26"
"S0067066","SNU","PLN","510,9","2021-12-28"
"S0067103","SNU","PLN","1041,71","2021-12-26"
"S0067102","ZNZ","PLN","567,34","2022-01-04"
"S0067102","ZNZ","PLN","778,04","2022-01-07"
"S0067098","SNU","PLN","1645,47","2022-01-11"
"S0067098","SNU","PLN","1645,47","2022-01-11"
"S0067098","SNU","PLN","1645,47","2022-01-11"
"S0067097","ZNZ","PLN","778,03","2022-01-06"
"S0067097","ZNZ","PLN","923,91","2022-01-07"
"S0067095","SNU","PLN","1645,47","2021-12-28"
"S0067095","SNU","PLN","1645,47","2021-12-28"
"S0067095","SNU","PLN","885,77","2021-12-28"
"S0067095","SNU","PLN","1645,47","2021-12-28"
"S0067094","ZNZ","EUR","3674,1","2021-12-30"
"S0067093","LPA","PLN","359,35","2021-12-30"
"S0067092","LPA","PLN","359,35","2021-12-28"
"S0066949","SLL","USD","84,38","2021-12-16"
"S0067090","SNU","PLN","1645,47","2021-12-28"
"S0067089","SNU","PLN","1645,47","2021-12-28"
"S0067085","ZNZ","PLN","1880,09","2021-12-30"
"S0067085","ZNZ","PLN","1621,04","2021-12-28"
"S0067084","ZNZ","PLN","1815,45","2021-12-28"
"S0067082","ACE","PLN","283,18","2021-12-30"
"S0067082","ACE","PLN","253,89","2021-12-27"
"S0067075","FNC","PLN","593,71","2021-12-22"
"S0067074","FNC","PLN","593,71","2021-12-22"
"S0067070","CUN","PLN","418,82","2021-12-27"
"S0067069","SID","EUR","307,6","2021-12-20"
"S0067068","SID","EUR","518,53","2021-12-21"
"S0067067","SID","EUR","263,65","2021-12-20"
"S0067067","SID","EUR","219,72","2021-12-22"
"S0067065","SID","EUR","170,89","2021-12-21"
"S0067057","CUN","PLN","1021,42","2021-12-28"
"S0067056","SLL","USD","907,72","2021-12-19"
"S0067055","SLL","USD","63,52","2021-12-23"
"S0067054","SLL","USD","726,18","2021-12-21"
"S0067053","SLL","USD","968,24","2021-12-21"
"S0067052","SLL","USD","1210,28","2021-12-21"
"S0067051","SLL","USD","332,86","2021-12-21"
"S0067050","SLL","USD","499,27","2021-12-21"
"S0067049","SLL","USD","499,27","2021-12-21"
"S0067048","SLL","USD","2723,19","2021-12-20"
"S0067047","SLL","USD","2723,19","2021-12-20"
"S0067046","SLL","USD","907,72","2021-12-19"
"S0067044","SLL","USD","907,72","2021-12-19"
"S0067043","SLL","USD","1543,14","2021-12-20"
"S0067042","SLL","USD","771,54","2021-12-20"
"S0067041","SLL","USD","416,03","2021-12-19"
"S0067040","SLL","USD","249,64","2021-12-19"
"S0067039","SLL","USD","416,03","2021-12-19"
"S0067038","SLL","USD","907,72","2021-12-19"
"S0067036","SLL","USD","1361,59","2021-12-19"
"S0067035","SLL","USD","680,79","2021-12-20"
"S0067034","SLL","USD","816,97","2021-12-19"
"S0067033","SLL","USD","816,97","2021-12-18"
"S0067032","SLL","USD","816,97","2021-12-18"
"S0067031","SLL","USD","1134,66","2021-12-19"
"S0067030","SLL","USD","1361,59","2021-12-19"
"S0067029","SLL","USD","1543,14","2021-12-20"
"S0067028","SLL","USD","1543,14","2021-12-20"
"S0067027","SID","EUR","170,89","2021-12-21"
"S0067026","SLL","USD","332,86","2021-12-21"
"S0067025","SLL","USD","1134,66","2021-12-19"
"S0067024","SLL","USD","1800,3","2021-12-20"
"S0067023","SLL","USD","332,86","2021-12-21"
"S0067022","SLL","USD","726,18","2021-12-21"
"S0067021","SLL","USD","1134,66","2021-12-19"
"S0067020","SLL","USD","332,86","2021-12-19"
"S0067019","SLL","USD","1543,14","2021-12-20"
"S0067018","SLL","USD","499,27","2021-12-19"
"S0067018","SLL","USD","1452,37","2021-12-21"
"S0067018","SLL","USD","1361,59","2021-12-26"
"S0067018","SLL","USD","2723,19","2021-12-27"
"S0067018","SLL","USD","127,1","2021-12-30"
"S0067017","SLL","USD","907,72","2021-12-19"
"S0067016","SLL","USD","1543,14","2021-12-20"
"S0067015","SLL","USD","907,72","2021-12-19"
"S0067014","CUN","PLN","1438,48","2021-12-30"
"S0067013","SID","EUR","461,4","2021-12-20"
"S0067012","SID","EUR","170,89","2021-12-21"
"S0067010","SID","EUR","461,4","2021-12-20"
"S0067009","SID","EUR","170,89","2021-12-21"
"S0067008","SID","EUR","170,89","2021-12-21"
"S0067007","SID","EUR","170,89","2021-12-21"
"S0067006","SID","EUR","170,89","2021-12-21"
"S0067005","SID","EUR","170,89","2021-12-21"
"S0067004","SID","EUR","518,53","2021-12-21"
"S0067003","SID","EUR","170,89","2021-12-21"
"S0067002","SID","EUR","170,89","2021-12-21"
"S0067001","SID","EUR","170,89","2021-12-21"
"S0067000","SID","EUR","170,89","2021-12-21"
"S0066999","SID","EUR","170,89","2021-12-21"
"S0066999","SID","EUR","263,65","2021-12-22"
"S0066998","SID","EUR","439,42","2021-12-22"
"S0066998","SID","EUR","410,13","2021-12-21"
"S0066996","RMF","PLN","695,91","2021-12-29"
"S0066993","SNU","PLN","1559,25","2022-01-11"
"S0066992","ACE","PLN","1152,27","2021-12-20"
"S0066991","LPA","CZK","489,72","2021-12-30"
"S0066991","LPA","CZK","468,72","2021-12-28"
"S0066989","SID","PLN","518,53","2021-12-23"
"S0066985","PUJ","PLN","1670,3","2021-12-20"
"S0066980","HRG","PLN","583,54","2021-12-26"
"S0066980","HRG","PLN","583,54","2021-12-28"
"S0066980","HRG","PLN","259,33","2021-12-29"
"S0066979","SNU","PLN","1559,25","2022-01-11"
"S0066979","SNU","PLN","1559,25","2022-01-11"
"S0066979","SNU","PLN","1559,25","2022-01-11"
"S0066978","ZNZ","PLN","680,79","2021-12-21"
"S0066978","ZNZ","PLN","778,03","2021-12-30"
"S0066978","ZNZ","PLN","583,54","2021-12-23"
"S0066976","SLL","PLN","1089,27","2021-12-20"
"S0066976","SLL","PLN","907,72","2021-12-22"
"S0066975","SID","PLN","307,6","2021-12-27"
"S0066974","SID","PLN","307,6","2021-12-27"
"S0066924","FNC","PLN","490,04","2021-12-23"
"S0066965","SID","PLN","307,6","2021-12-22"
"S0066964","SID","PLN","153,8","2021-12-22"
"S0066962","SID","PLN","307,6","2021-12-22"
"S0066962","SID","PLN","263,65","2021-12-23"
"S0066954","RMF","PLN","2199,32","2021-12-21"
"S0066953","HEL","EUR","4632,28","2021-12-26"
"S0066952","ZNZ","PLN","1016,79","2022-01-04"
"S0066951","SLL","USD","84,38","2021-12-16"
"S0066950","SLL","USD","84,38","2021-12-16"
"S0066942","ZNZ","CZK","613,27","2022-01-14"
"S0066941","SLL","USD","84,38","2021-12-16"
"S0066935","ZNZ","PLN","484,21","2021-12-17"
"S0066934","ACE","PLN","641,72","2021-12-21"
"S0066933","ZNZ","PLN","419,63","2021-12-16"
"S0066930","RMF","PLN","692,91","2021-12-29"
"S0066924","FNC","PLN","645,61","2021-12-24"
"S0034132","MJT","PLN","555,6","2020-08-26"
"S0066924","FNC","PLN","466,7","2021-12-22"
"S0066923","PUJ","PLN","455,18","2021-12-20"
"S0066923","PUJ","PLN","623,26","2021-12-21"
"S0066920","SID","EUR","262,52","2021-12-15"
"S0066918","ZNZ","PLN","484,19","2021-12-17"
"S0066917","PUJ","PLN","455,18","2021-12-21"
"S0066917","PUJ","PLN","483,2","2021-12-22"
"S0066916","ZNZ","PLN","484,21","2021-12-17"
"S0066915","ZNZ","PLN","403,52","2022-01-04"
"S0066915","ZNZ","PLN","564,84","2022-01-07"
"S0066914","ZNZ","PLN","419,59","2021-12-16"
"S0066912","FUE","PLN","676,72","2021-12-29"
"S0066911","ZNZ","PLN","387,37","2021-12-14"
"S0066909","ZNZ","PLN","419,63","2021-12-16"
"S0066908","ZNZ","PLN","387,37","2021-12-14"
"S0066907","ZNZ","PLN","661,72","2022-01-06"
"S0066905","LPA","PLN","466,7","2021-12-14"
"S0066904","RMF","PLN","120,52","2021-12-16"
"S0066903","RMF","PLN","198,89","2021-12-17"
"S0066887","ZNZ","PLN","387,37","2021-12-14"
"S0066899","PUJ","PLN","665,28","2022-01-05"
"S0066899","PUJ","PLN","665,28","2022-01-07"
"S0066897","SLL","USD","84,38","2021-12-16"
"S0066896","SLL","USD","331,42","2021-12-14"
"S0066895","SLL","USD","331,42","2021-12-14"
"S0066894","ZNZ","PLN","419,63","2021-12-16"
"S0066893","ZNZ","PLN","3658,3","2021-12-23"
"S0066892","ZNZ","PLN","387,37","2021-12-14"
"S0066890","ZNZ","PLN","484,19","2021-12-14"
"S0066889","ZNZ","PLN","419,59","2021-12-16"
"S0066888","ZNZ","PLN","484,19","2021-12-17"
"S0066886","SNU","PLN","488,9","2022-01-01"
"S0066883","HRG","PLN","193,67","2021-12-21"
"S0066658","HRG","PLN","193,67","2021-12-21"
"S0066881","LPA","PLN","466,7","2021-12-14"
"S0066879","PUJ","PLN","665,24","2021-12-17"
"S0066877","PUJ","PLN","665,24","2021-12-16"
"S0066876","PUJ","PLN","665,24","2021-12-16"
"S0066874","SID","EUR","516,29","2021-12-15"
"S0066873","SID","EUR","306,28","2021-12-13"
"S0066872","SID","EUR","382,84","2021-12-13"
"S0066870","SID","EUR","516,29","2021-12-16"
"S0018018","KVA","PLN","288,91","2019-09-07"
"S0066869","SID","EUR","306,28","2021-12-13"
"S0066244","RMF","PLN","168,73","2021-12-17"
"S0066244","RMF","PLN","692,91","2021-12-14"
"S0066867","RMF","PLN","1039,44","2021-12-22"
"S0066866","SID","EUR","645,36","2021-12-15"
"S0066864","SID","EUR","306,28","2021-12-13"
"S0066863","SID","EUR","170,16","2021-12-14"
"S0066862","SID","EUR","170,16","2021-12-14"
"S0066862","SID","EUR","516,29","2021-12-15"
"S0066862","SID","EUR","218,77","2021-12-16"
"S0066861","SID","EUR","170,16","2021-12-14"
"S0066860","SID","EUR","170,16","2021-12-14"
"S0066859","SID","EUR","306,28","2021-12-13"
"S0066858","ZNZ","PLN","484,19","2021-12-17"
"S0066858","ZNZ","PLN","451,89","2021-12-21"
"S0066858","ZNZ","PLN","420,71","2021-12-15"
"S0066858","ZNZ","PLN","420,71","2021-12-15"
"S0066856","SID","EUR","437,53","2021-12-16"
"S0066855","SID","EUR","516,29","2021-12-16"
"S0066855","SID","EUR","170,16","2021-12-14"
"S0066854","SID","EUR","218,77","2021-12-14"
"S0066849","SID","EUR","516,29","2021-12-16"
"S0066853","SID","EUR","306,28","2021-12-13"
"S0066853","SID","EUR","262,52","2021-12-15"
"S0066853","SID","EUR","218,77","2021-12-16"
"S0066852","SID","EUR","306,28","2021-12-13"
"S0066844","RMF","PLN","451,91","2021-12-28"
"S0066844","RMF","PLN","451,91","2021-12-29"
"S0066851","SID","EUR","612,55","2021-12-13"
"S0066850","SID","EUR","170,16","2021-12-14"
"S0066850","SID","EUR","516,29","2021-12-15"
"S0066850","SID","EUR","218,77","2021-12-16"
"S0066849","SID","EUR","170,16","2021-12-14"
"S0016685","RMI","PLN","382,44","2019-09-17"
"S0066848","SID","EUR","170,16","2021-12-14"
"S0066847","SID","EUR","170,16","2021-12-14"
"S0066847","SID","EUR","218,77","2021-12-16"
"S0066846","SID","EUR","170,16","2021-12-14"
"S0066846","SID","EUR","516,29","2021-12-16"
"S0066845","SID","EUR","170,16","2021-12-14"
"S0066843","SID","EUR","306,28","2021-12-13"
"S0066841","RMF","PLN","228,99","2021-12-14"
"S0066839","SLL","USD","414,25","2021-12-12"
"S0066838","SLL","USD","331,42","2021-12-12"
"S0066838","SLL","USD","1024,33","2021-12-13"
"S0066838","SLL","USD","964,07","2021-12-14"
"S0066838","SLL","USD","84,38","2021-12-16"
"S0066837","SLL","USD","903,82","2021-12-12"
"S0066836","SLL","USD","1024,33","2021-12-13"
"S0066835","SLL","USD","331,42","2021-12-12"
"S0066834","SLL","USD","331,42","2021-12-12"
"S0066834","SLL","USD","1506,36","2021-12-13"
"S0066833","SLL","USD","903,82","2021-12-12"
"S0066833","SLL","USD","331,42","2021-12-14"
"S0066832","SLL","USD","964,07","2021-12-14"
"S0066831","SLL","USD","331,42","2021-12-12"
"S0066830","SLL","USD","331,42","2021-12-12"
"S0066829","SLL","USD","964,07","2021-12-14"
"S0066828","SLL","USD","497,11","2021-12-12"
