no,effectiveDate,mid,exchange_rate
001/A/NBP/2019,2019-01-02,0.1671,CZK
002/A/NBP/2019,2019-01-03,0.1672,CZK
003/A/NBP/2019,2019-01-04,0.1679,CZK
004/A/NBP/2019,2019-01-07,0.1682,CZK
005/A/NBP/2019,2019-01-08,0.1678,CZK
006/A/NBP/2019,2019-01-09,0.1678,CZK
007/A/NBP/2019,2019-01-10,0.168,CZK
008/A/NBP/2019,2019-01-11,0.1679,CZK
009/A/NBP/2019,2019-01-14,0.168,CZK
010/A/NBP/2019,2019-01-15,0.1679,CZK
011/A/NBP/2019,2019-01-16,0.1678,CZK
012/A/NBP/2019,2019-01-17,0.1678,CZK
013/A/NBP/2019,2019-01-18,0.1681,CZK
014/A/NBP/2019,2019-01-21,0.1677,CZK
015/A/NBP/2019,2019-01-22,0.1674,CZK
016/A/NBP/2019,2019-01-23,0.1672,CZK
017/A/NBP/2019,2019-01-24,0.167,CZK
018/A/NBP/2019,2019-01-25,0.1669,CZK
019/A/NBP/2019,2019-01-28,0.1668,CZK
020/A/NBP/2019,2019-01-29,0.1669,CZK
021/A/NBP/2019,2019-01-30,0.1665,CZK
022/A/NBP/2019,2019-01-31,0.1661,CZK
023/A/NBP/2019,2019-02-01,0.1658,CZK
024/A/NBP/2019,2019-02-04,0.1664,CZK
025/A/NBP/2019,2019-02-05,0.1669,CZK
026/A/NBP/2019,2019-02-06,0.1667,CZK
027/A/NBP/2019,2019-02-07,0.1668,CZK
028/A/NBP/2019,2019-02-08,0.167,CZK
029/A/NBP/2019,2019-02-11,0.1671,CZK
030/A/NBP/2019,2019-02-12,0.1674,CZK
031/A/NBP/2019,2019-02-13,0.1677,CZK
032/A/NBP/2019,2019-02-14,0.1683,CZK
033/A/NBP/2019,2019-02-15,0.1682,CZK
034/A/NBP/2019,2019-02-18,0.1685,CZK
035/A/NBP/2019,2019-02-19,0.1682,CZK
036/A/NBP/2019,2019-02-20,0.1688,CZK
037/A/NBP/2019,2019-02-21,0.1688,CZK
038/A/NBP/2019,2019-02-22,0.1692,CZK
039/A/NBP/2019,2019-02-25,0.1692,CZK
040/A/NBP/2019,2019-02-26,0.1689,CZK
041/A/NBP/2019,2019-02-27,0.1684,CZK
042/A/NBP/2019,2019-02-28,0.1683,CZK
043/A/NBP/2019,2019-03-01,0.1682,CZK
044/A/NBP/2019,2019-03-04,0.1677,CZK
045/A/NBP/2019,2019-03-05,0.1679,CZK
046/A/NBP/2019,2019-03-06,0.1678,CZK
047/A/NBP/2019,2019-03-07,0.1681,CZK
048/A/NBP/2019,2019-03-08,0.1681,CZK
049/A/NBP/2019,2019-03-11,0.1675,CZK
050/A/NBP/2019,2019-03-12,0.1675,CZK
051/A/NBP/2019,2019-03-13,0.1675,CZK
052/A/NBP/2019,2019-03-14,0.1676,CZK
053/A/NBP/2019,2019-03-15,0.1677,CZK
054/A/NBP/2019,2019-03-18,0.1676,CZK
055/A/NBP/2019,2019-03-19,0.1677,CZK
056/A/NBP/2019,2019-03-20,0.1671,CZK
057/A/NBP/2019,2019-03-21,0.1672,CZK
058/A/NBP/2019,2019-03-22,0.1669,CZK
059/A/NBP/2019,2019-03-25,0.167,CZK
060/A/NBP/2019,2019-03-26,0.1668,CZK
061/A/NBP/2019,2019-03-27,0.1669,CZK
062/A/NBP/2019,2019-03-28,0.1666,CZK
063/A/NBP/2019,2019-03-29,0.1666,CZK
064/A/NBP/2019,2019-04-01,0.1669,CZK
065/A/NBP/2019,2019-04-02,0.1671,CZK
066/A/NBP/2019,2019-04-03,0.1671,CZK
067/A/NBP/2019,2019-04-04,0.167,CZK
068/A/NBP/2019,2019-04-05,0.1674,CZK
069/A/NBP/2019,2019-04-08,0.1673,CZK
070/A/NBP/2019,2019-04-09,0.1674,CZK
071/A/NBP/2019,2019-04-10,0.1673,CZK
072/A/NBP/2019,2019-04-11,0.1673,CZK
073/A/NBP/2019,2019-04-12,0.1672,CZK
074/A/NBP/2019,2019-04-15,0.1669,CZK
075/A/NBP/2019,2019-04-16,0.1666,CZK
076/A/NBP/2019,2019-04-17,0.1665,CZK
077/A/NBP/2019,2019-04-18,0.1666,CZK
078/A/NBP/2019,2019-04-19,0.1666,CZK
079/A/NBP/2019,2019-04-23,0.1667,CZK
080/A/NBP/2019,2019-04-24,0.1666,CZK
081/A/NBP/2019,2019-04-25,0.1668,CZK
082/A/NBP/2019,2019-04-26,0.1669,CZK
083/A/NBP/2019,2019-04-29,0.1672,CZK
084/A/NBP/2019,2019-04-30,0.1672,CZK
085/A/NBP/2019,2019-05-02,0.1669,CZK
086/A/NBP/2019,2019-05-06,0.1666,CZK
087/A/NBP/2019,2019-05-07,0.1666,CZK
088/A/NBP/2019,2019-05-08,0.1668,CZK
089/A/NBP/2019,2019-05-09,0.1671,CZK
090/A/NBP/2019,2019-05-10,0.167,CZK
091/A/NBP/2019,2019-05-13,0.167,CZK
092/A/NBP/2019,2019-05-14,0.1673,CZK
093/A/NBP/2019,2019-05-15,0.1675,CZK
094/A/NBP/2019,2019-05-16,0.167,CZK
095/A/NBP/2019,2019-05-17,0.1673,CZK
096/A/NBP/2019,2019-05-20,0.1668,CZK
097/A/NBP/2019,2019-05-21,0.1669,CZK
098/A/NBP/2019,2019-05-22,0.1672,CZK
099/A/NBP/2019,2019-05-23,0.1669,CZK
100/A/NBP/2019,2019-05-24,0.1663,CZK
101/A/NBP/2019,2019-05-27,0.1663,CZK
102/A/NBP/2019,2019-05-28,0.1663,CZK
103/A/NBP/2019,2019-05-29,0.1663,CZK
104/A/NBP/2019,2019-05-30,0.1661,CZK
105/A/NBP/2019,2019-05-31,0.1661,CZK
106/A/NBP/2019,2019-06-03,0.1656,CZK
107/A/NBP/2019,2019-06-04,0.1661,CZK
108/A/NBP/2019,2019-06-05,0.1666,CZK
109/A/NBP/2019,2019-06-06,0.1668,CZK
110/A/NBP/2019,2019-06-07,0.1667,CZK
111/A/NBP/2019,2019-06-10,0.1665,CZK
112/A/NBP/2019,2019-06-11,0.1664,CZK
113/A/NBP/2019,2019-06-12,0.1665,CZK
114/A/NBP/2019,2019-06-13,0.1666,CZK
115/A/NBP/2019,2019-06-14,0.1665,CZK
116/A/NBP/2019,2019-06-17,0.1667,CZK
117/A/NBP/2019,2019-06-18,0.1666,CZK
118/A/NBP/2019,2019-06-19,0.1665,CZK
119/A/NBP/2019,2019-06-21,0.1664,CZK
120/A/NBP/2019,2019-06-24,0.1662,CZK
121/A/NBP/2019,2019-06-25,0.1665,CZK
122/A/NBP/2019,2019-06-26,0.1673,CZK
123/A/NBP/2019,2019-06-27,0.1673,CZK
124/A/NBP/2019,2019-06-28,0.1672,CZK
125/A/NBP/2019,2019-07-01,0.1666,CZK
126/A/NBP/2019,2019-07-02,0.1669,CZK
127/A/NBP/2019,2019-07-03,0.1668,CZK
128/A/NBP/2019,2019-07-04,0.1667,CZK
129/A/NBP/2019,2019-07-05,0.1666,CZK
130/A/NBP/2019,2019-07-08,0.1668,CZK
131/A/NBP/2019,2019-07-09,0.1671,CZK
132/A/NBP/2019,2019-07-10,0.1671,CZK
133/A/NBP/2019,2019-07-11,0.1667,CZK
134/A/NBP/2019,2019-07-12,0.1667,CZK
135/A/NBP/2019,2019-07-15,0.1667,CZK
136/A/NBP/2019,2019-07-16,0.1665,CZK
137/A/NBP/2019,2019-07-17,0.1666,CZK
138/A/NBP/2019,2019-07-18,0.1665,CZK
139/A/NBP/2019,2019-07-19,0.1667,CZK
140/A/NBP/2019,2019-07-22,0.1663,CZK
141/A/NBP/2019,2019-07-23,0.1663,CZK
142/A/NBP/2019,2019-07-24,0.1667,CZK
143/A/NBP/2019,2019-07-25,0.1667,CZK
144/A/NBP/2019,2019-07-26,0.167,CZK
145/A/NBP/2019,2019-07-29,0.167,CZK
146/A/NBP/2019,2019-07-30,0.1672,CZK
147/A/NBP/2019,2019-07-31,0.1672,CZK
148/A/NBP/2019,2019-08-01,0.167,CZK
149/A/NBP/2019,2019-08-02,0.1671,CZK
150/A/NBP/2019,2019-08-05,0.1675,CZK
151/A/NBP/2019,2019-08-06,0.1675,CZK
152/A/NBP/2019,2019-08-07,0.1678,CZK
153/A/NBP/2019,2019-08-08,0.1677,CZK
154/A/NBP/2019,2019-08-09,0.1674,CZK
155/A/NBP/2019,2019-08-12,0.1673,CZK
156/A/NBP/2019,2019-08-13,0.1677,CZK
157/A/NBP/2019,2019-08-14,0.1683,CZK
158/A/NBP/2019,2019-08-16,0.1688,CZK
159/A/NBP/2019,2019-08-19,0.1689,CZK
160/A/NBP/2019,2019-08-20,0.1693,CZK
161/A/NBP/2019,2019-08-21,0.1687,CZK
162/A/NBP/2019,2019-08-22,0.1692,CZK
163/A/NBP/2019,2019-08-23,0.1691,CZK
164/A/NBP/2019,2019-08-26,0.1692,CZK
165/A/NBP/2019,2019-08-27,0.1694,CZK
166/A/NBP/2019,2019-08-28,0.1697,CZK
167/A/NBP/2019,2019-08-29,0.1696,CZK
168/A/NBP/2019,2019-08-30,0.1695,CZK
169/A/NBP/2019,2019-09-02,0.1685,CZK
170/A/NBP/2019,2019-09-03,0.1686,CZK
171/A/NBP/2019,2019-09-04,0.1681,CZK
172/A/NBP/2019,2019-09-05,0.1679,CZK
173/A/NBP/2019,2019-09-06,0.1679,CZK
174/A/NBP/2019,2019-09-09,0.1677,CZK
175/A/NBP/2019,2019-09-10,0.1676,CZK
176/A/NBP/2019,2019-09-11,0.1677,CZK
177/A/NBP/2019,2019-09-12,0.1677,CZK
178/A/NBP/2019,2019-09-13,0.1678,CZK
179/A/NBP/2019,2019-09-16,0.1673,CZK
180/A/NBP/2019,2019-09-17,0.1676,CZK
181/A/NBP/2019,2019-09-18,0.1677,CZK
182/A/NBP/2019,2019-09-19,0.1678,CZK
183/A/NBP/2019,2019-09-20,0.1677,CZK
184/A/NBP/2019,2019-09-23,0.1695,CZK
185/A/NBP/2019,2019-09-24,0.1694,CZK
186/A/NBP/2019,2019-09-25,0.1695,CZK
187/A/NBP/2019,2019-09-26,0.1701,CZK
188/A/NBP/2019,2019-09-27,0.1697,CZK
189/A/NBP/2019,2019-09-30,0.1693,CZK
190/A/NBP/2019,2019-10-01,0.1697,CZK
191/A/NBP/2019,2019-10-02,0.1701,CZK
192/A/NBP/2019,2019-10-03,0.1687,CZK
193/A/NBP/2019,2019-10-04,0.1685,CZK
194/A/NBP/2019,2019-10-07,0.1681,CZK
195/A/NBP/2019,2019-10-08,0.1679,CZK
196/A/NBP/2019,2019-10-09,0.1677,CZK
197/A/NBP/2019,2019-10-10,0.1671,CZK
198/A/NBP/2019,2019-10-11,0.1668,CZK
199/A/NBP/2019,2019-10-14,0.1665,CZK
200/A/NBP/2019,2019-10-15,0.1663,CZK
201/A/NBP/2019,2019-10-16,0.1667,CZK
202/A/NBP/2019,2019-10-17,0.1665,CZK
203/A/NBP/2019,2019-10-18,0.1669,CZK
204/A/NBP/2019,2019-10-21,0.167,CZK
205/A/NBP/2019,2019-10-22,0.1673,CZK
206/A/NBP/2019,2019-10-23,0.1672,CZK
207/A/NBP/2019,2019-10-24,0.1671,CZK
208/A/NBP/2019,2019-10-25,0.1671,CZK
209/A/NBP/2019,2019-10-28,0.1673,CZK
210/A/NBP/2019,2019-10-29,0.1672,CZK
211/A/NBP/2019,2019-10-30,0.1671,CZK
212/A/NBP/2019,2019-10-31,0.1671,CZK
213/A/NBP/2019,2019-11-04,0.1667,CZK
214/A/NBP/2019,2019-11-05,0.167,CZK
215/A/NBP/2019,2019-11-06,0.1673,CZK
216/A/NBP/2019,2019-11-07,0.1672,CZK
217/A/NBP/2019,2019-11-08,0.1669,CZK
218/A/NBP/2019,2019-11-12,0.1677,CZK
219/A/NBP/2019,2019-11-13,0.1677,CZK
220/A/NBP/2019,2019-11-14,0.168,CZK
221/A/NBP/2019,2019-11-15,0.1673,CZK
222/A/NBP/2019,2019-11-18,0.1675,CZK
223/A/NBP/2019,2019-11-19,0.168,CZK
224/A/NBP/2019,2019-11-20,0.1681,CZK
225/A/NBP/2019,2019-11-21,0.1684,CZK
226/A/NBP/2019,2019-11-22,0.1684,CZK
227/A/NBP/2019,2019-11-25,0.1686,CZK
228/A/NBP/2019,2019-11-26,0.1685,CZK
229/A/NBP/2019,2019-11-27,0.169,CZK
230/A/NBP/2019,2019-11-28,0.1691,CZK
231/A/NBP/2019,2019-11-29,0.1692,CZK
232/A/NBP/2019,2019-12-02,0.1684,CZK
233/A/NBP/2019,2019-12-03,0.1679,CZK
234/A/NBP/2019,2019-12-04,0.1677,CZK
235/A/NBP/2019,2019-12-05,0.1676,CZK
236/A/NBP/2019,2019-12-06,0.1673,CZK
237/A/NBP/2019,2019-12-09,0.1677,CZK
238/A/NBP/2019,2019-12-10,0.168,CZK
239/A/NBP/2019,2019-12-11,0.1679,CZK
240/A/NBP/2019,2019-12-12,0.1679,CZK
241/A/NBP/2019,2019-12-13,0.1676,CZK
242/A/NBP/2019,2019-12-16,0.1673,CZK
243/A/NBP/2019,2019-12-17,0.1672,CZK
244/A/NBP/2019,2019-12-18,0.1674,CZK
245/A/NBP/2019,2019-12-19,0.1673,CZK
246/A/NBP/2019,2019-12-20,0.1674,CZK
247/A/NBP/2019,2019-12-23,0.1671,CZK
248/A/NBP/2019,2019-12-24,0.1673,CZK
249/A/NBP/2019,2019-12-27,0.1673,CZK
250/A/NBP/2019,2019-12-30,0.1673,CZK
251/A/NBP/2019,2019-12-31,0.1676,CZK
001/A/NBP/2019,2019-01-02,4.3016,EUR
002/A/NBP/2019,2019-01-03,4.303,EUR
003/A/NBP/2019,2019-01-04,4.3018,EUR
004/A/NBP/2019,2019-01-07,4.2989,EUR
005/A/NBP/2019,2019-01-08,4.3013,EUR
006/A/NBP/2019,2019-01-09,4.2989,EUR
007/A/NBP/2019,2019-01-10,4.3055,EUR
008/A/NBP/2019,2019-01-11,4.2957,EUR
009/A/NBP/2019,2019-01-14,4.2936,EUR
010/A/NBP/2019,2019-01-15,4.2922,EUR
011/A/NBP/2019,2019-01-16,4.2929,EUR
012/A/NBP/2019,2019-01-17,4.2875,EUR
013/A/NBP/2019,2019-01-18,4.2964,EUR
014/A/NBP/2019,2019-01-21,4.2928,EUR
015/A/NBP/2019,2019-01-22,4.2862,EUR
016/A/NBP/2019,2019-01-23,4.2867,EUR
017/A/NBP/2019,2019-01-24,4.2942,EUR
018/A/NBP/2019,2019-01-25,4.2935,EUR
019/A/NBP/2019,2019-01-28,4.2885,EUR
020/A/NBP/2019,2019-01-29,4.2974,EUR
021/A/NBP/2019,2019-01-30,4.2952,EUR
022/A/NBP/2019,2019-01-31,4.2802,EUR
023/A/NBP/2019,2019-02-01,4.2706,EUR
024/A/NBP/2019,2019-02-04,4.2813,EUR
025/A/NBP/2019,2019-02-05,4.2869,EUR
026/A/NBP/2019,2019-02-06,4.2936,EUR
027/A/NBP/2019,2019-02-07,4.3019,EUR
028/A/NBP/2019,2019-02-08,4.3082,EUR
029/A/NBP/2019,2019-02-11,4.3172,EUR
030/A/NBP/2019,2019-02-12,4.3268,EUR
031/A/NBP/2019,2019-02-13,4.3312,EUR
032/A/NBP/2019,2019-02-14,4.3394,EUR
033/A/NBP/2019,2019-02-15,4.3243,EUR
034/A/NBP/2019,2019-02-18,4.3317,EUR
035/A/NBP/2019,2019-02-19,4.3303,EUR
036/A/NBP/2019,2019-02-20,4.3371,EUR
037/A/NBP/2019,2019-02-21,4.3322,EUR
038/A/NBP/2019,2019-02-22,4.3387,EUR
039/A/NBP/2019,2019-02-25,4.3402,EUR
040/A/NBP/2019,2019-02-26,4.3338,EUR
041/A/NBP/2019,2019-02-27,4.3173,EUR
042/A/NBP/2019,2019-02-28,4.312,EUR
043/A/NBP/2019,2019-03-01,4.3079,EUR
044/A/NBP/2019,2019-03-04,4.2984,EUR
045/A/NBP/2019,2019-03-05,4.3018,EUR
046/A/NBP/2019,2019-03-06,4.2992,EUR
047/A/NBP/2019,2019-03-07,4.3019,EUR
048/A/NBP/2019,2019-03-08,4.3068,EUR
049/A/NBP/2019,2019-03-11,4.2983,EUR
050/A/NBP/2019,2019-03-12,4.2976,EUR
051/A/NBP/2019,2019-03-13,4.3006,EUR
052/A/NBP/2019,2019-03-14,4.3015,EUR
053/A/NBP/2019,2019-03-15,4.3037,EUR
054/A/NBP/2019,2019-03-18,4.2993,EUR
055/A/NBP/2019,2019-03-19,4.294,EUR
056/A/NBP/2019,2019-03-20,4.2864,EUR
057/A/NBP/2019,2019-03-21,4.287,EUR
058/A/NBP/2019,2019-03-22,4.2894,EUR
059/A/NBP/2019,2019-03-25,4.2978,EUR
060/A/NBP/2019,2019-03-26,4.297,EUR
061/A/NBP/2019,2019-03-27,4.2991,EUR
062/A/NBP/2019,2019-03-28,4.2998,EUR
063/A/NBP/2019,2019-03-29,4.3013,EUR
064/A/NBP/2019,2019-04-01,4.3035,EUR
065/A/NBP/2019,2019-04-02,4.3004,EUR
066/A/NBP/2019,2019-04-03,4.2941,EUR
067/A/NBP/2019,2019-04-04,4.2921,EUR
068/A/NBP/2019,2019-04-05,4.2921,EUR
069/A/NBP/2019,2019-04-08,4.2897,EUR
070/A/NBP/2019,2019-04-09,4.2871,EUR
071/A/NBP/2019,2019-04-10,4.2852,EUR
072/A/NBP/2019,2019-04-11,4.2821,EUR
073/A/NBP/2019,2019-04-12,4.2847,EUR
074/A/NBP/2019,2019-04-15,4.277,EUR
075/A/NBP/2019,2019-04-16,4.2737,EUR
076/A/NBP/2019,2019-04-17,4.275,EUR
077/A/NBP/2019,2019-04-18,4.279,EUR
078/A/NBP/2019,2019-04-19,4.2802,EUR
079/A/NBP/2019,2019-04-23,4.2886,EUR
080/A/NBP/2019,2019-04-24,4.2895,EUR
081/A/NBP/2019,2019-04-25,4.2959,EUR
082/A/NBP/2019,2019-04-26,4.2906,EUR
083/A/NBP/2019,2019-04-29,4.295,EUR
084/A/NBP/2019,2019-04-30,4.2911,EUR
085/A/NBP/2019,2019-05-02,4.2795,EUR
086/A/NBP/2019,2019-05-06,4.2847,EUR
087/A/NBP/2019,2019-05-07,4.2858,EUR
088/A/NBP/2019,2019-05-08,4.2914,EUR
089/A/NBP/2019,2019-05-09,4.2977,EUR
090/A/NBP/2019,2019-05-10,4.2955,EUR
091/A/NBP/2019,2019-05-13,4.3029,EUR
092/A/NBP/2019,2019-05-14,4.3085,EUR
093/A/NBP/2019,2019-05-15,4.3128,EUR
094/A/NBP/2019,2019-05-16,4.2929,EUR
095/A/NBP/2019,2019-05-17,4.3072,EUR
096/A/NBP/2019,2019-05-20,4.2995,EUR
097/A/NBP/2019,2019-05-21,4.3055,EUR
098/A/NBP/2019,2019-05-22,4.3098,EUR
099/A/NBP/2019,2019-05-23,4.3107,EUR
100/A/NBP/2019,2019-05-24,4.2989,EUR
101/A/NBP/2019,2019-05-27,4.2952,EUR
102/A/NBP/2019,2019-05-28,4.2967,EUR
103/A/NBP/2019,2019-05-29,4.3007,EUR
104/A/NBP/2019,2019-05-30,4.2919,EUR
105/A/NBP/2019,2019-05-31,4.2916,EUR
106/A/NBP/2019,2019-06-03,4.2809,EUR
107/A/NBP/2019,2019-06-04,4.2788,EUR
108/A/NBP/2019,2019-06-05,4.2782,EUR
109/A/NBP/2019,2019-06-06,4.2783,EUR
110/A/NBP/2019,2019-06-07,4.2762,EUR
111/A/NBP/2019,2019-06-10,4.264,EUR
112/A/NBP/2019,2019-06-11,4.2675,EUR
113/A/NBP/2019,2019-06-12,4.265,EUR
114/A/NBP/2019,2019-06-13,4.261,EUR
115/A/NBP/2019,2019-06-14,4.2554,EUR
116/A/NBP/2019,2019-06-17,4.2599,EUR
117/A/NBP/2019,2019-06-18,4.2631,EUR
118/A/NBP/2019,2019-06-19,4.2673,EUR
119/A/NBP/2019,2019-06-21,4.2622,EUR
120/A/NBP/2019,2019-06-24,4.2538,EUR
121/A/NBP/2019,2019-06-25,4.2554,EUR
122/A/NBP/2019,2019-06-26,4.2642,EUR
123/A/NBP/2019,2019-06-27,4.2561,EUR
124/A/NBP/2019,2019-06-28,4.252,EUR
125/A/NBP/2019,2019-07-01,4.2406,EUR
126/A/NBP/2019,2019-07-02,4.2457,EUR
127/A/NBP/2019,2019-07-03,4.2442,EUR
128/A/NBP/2019,2019-07-04,4.2427,EUR
129/A/NBP/2019,2019-07-05,4.2445,EUR
130/A/NBP/2019,2019-07-08,4.2519,EUR
131/A/NBP/2019,2019-07-09,4.2637,EUR
132/A/NBP/2019,2019-07-10,4.2729,EUR
133/A/NBP/2019,2019-07-11,4.2682,EUR
134/A/NBP/2019,2019-07-12,4.2669,EUR
135/A/NBP/2019,2019-07-15,4.2673,EUR
136/A/NBP/2019,2019-07-16,4.2582,EUR
137/A/NBP/2019,2019-07-17,4.2644,EUR
138/A/NBP/2019,2019-07-18,4.2635,EUR
139/A/NBP/2019,2019-07-19,4.2592,EUR
140/A/NBP/2019,2019-07-22,4.248,EUR
141/A/NBP/2019,2019-07-23,4.2492,EUR
142/A/NBP/2019,2019-07-24,4.2581,EUR
143/A/NBP/2019,2019-07-25,4.2514,EUR
144/A/NBP/2019,2019-07-26,4.2645,EUR
145/A/NBP/2019,2019-07-29,4.2773,EUR
146/A/NBP/2019,2019-07-30,4.2906,EUR
147/A/NBP/2019,2019-07-31,4.2911,EUR
148/A/NBP/2019,2019-08-01,4.2931,EUR
149/A/NBP/2019,2019-08-02,4.3085,EUR
150/A/NBP/2019,2019-08-05,4.3182,EUR
151/A/NBP/2019,2019-08-06,4.3096,EUR
152/A/NBP/2019,2019-08-07,4.3194,EUR
153/A/NBP/2019,2019-08-08,4.322,EUR
154/A/NBP/2019,2019-08-09,4.3225,EUR
155/A/NBP/2019,2019-08-12,4.3262,EUR
156/A/NBP/2019,2019-08-13,4.3327,EUR
157/A/NBP/2019,2019-08-14,4.3463,EUR
158/A/NBP/2019,2019-08-16,4.3543,EUR
159/A/NBP/2019,2019-08-19,4.3519,EUR
160/A/NBP/2019,2019-08-20,4.3656,EUR
161/A/NBP/2019,2019-08-21,4.3513,EUR
162/A/NBP/2019,2019-08-22,4.366,EUR
163/A/NBP/2019,2019-08-23,4.3572,EUR
164/A/NBP/2019,2019-08-26,4.3719,EUR
165/A/NBP/2019,2019-08-27,4.3684,EUR
166/A/NBP/2019,2019-08-28,4.3857,EUR
167/A/NBP/2019,2019-08-29,4.3845,EUR
168/A/NBP/2019,2019-08-30,4.3844,EUR
169/A/NBP/2019,2019-09-02,4.3691,EUR
170/A/NBP/2019,2019-09-03,4.3667,EUR
171/A/NBP/2019,2019-09-04,4.3385,EUR
172/A/NBP/2019,2019-09-05,4.3409,EUR
173/A/NBP/2019,2019-09-06,4.3392,EUR
174/A/NBP/2019,2019-09-09,4.3373,EUR
175/A/NBP/2019,2019-09-10,4.335,EUR
176/A/NBP/2019,2019-09-11,4.3357,EUR
177/A/NBP/2019,2019-09-12,4.34,EUR
178/A/NBP/2019,2019-09-13,4.3396,EUR
179/A/NBP/2019,2019-09-16,4.3262,EUR
180/A/NBP/2019,2019-09-17,4.341,EUR
181/A/NBP/2019,2019-09-18,4.3419,EUR
182/A/NBP/2019,2019-09-19,4.3425,EUR
183/A/NBP/2019,2019-09-20,4.3438,EUR
184/A/NBP/2019,2019-09-23,4.3891,EUR
185/A/NBP/2019,2019-09-24,4.3796,EUR
186/A/NBP/2019,2019-09-25,4.3844,EUR
187/A/NBP/2019,2019-09-26,4.3861,EUR
188/A/NBP/2019,2019-09-27,4.3866,EUR
189/A/NBP/2019,2019-09-30,4.3736,EUR
190/A/NBP/2019,2019-10-01,4.3734,EUR
191/A/NBP/2019,2019-10-02,4.3788,EUR
192/A/NBP/2019,2019-10-03,4.3475,EUR
193/A/NBP/2019,2019-10-04,4.3311,EUR
194/A/NBP/2019,2019-10-07,4.3304,EUR
195/A/NBP/2019,2019-10-08,4.331,EUR
196/A/NBP/2019,2019-10-09,4.3257,EUR
197/A/NBP/2019,2019-10-10,4.3217,EUR
198/A/NBP/2019,2019-10-11,4.3097,EUR
199/A/NBP/2019,2019-10-14,4.2969,EUR
200/A/NBP/2019,2019-10-15,4.2949,EUR
201/A/NBP/2019,2019-10-16,4.297,EUR
202/A/NBP/2019,2019-10-17,4.2849,EUR
203/A/NBP/2019,2019-10-18,4.2844,EUR
204/A/NBP/2019,2019-10-21,4.2775,EUR
205/A/NBP/2019,2019-10-22,4.2792,EUR
206/A/NBP/2019,2019-10-23,4.2778,EUR
207/A/NBP/2019,2019-10-24,4.28,EUR
208/A/NBP/2019,2019-10-25,4.2762,EUR
209/A/NBP/2019,2019-10-28,4.2732,EUR
210/A/NBP/2019,2019-10-29,4.2757,EUR
211/A/NBP/2019,2019-10-30,4.2655,EUR
212/A/NBP/2019,2019-10-31,4.2617,EUR
213/A/NBP/2019,2019-11-04,4.2539,EUR
214/A/NBP/2019,2019-11-05,4.2631,EUR
215/A/NBP/2019,2019-11-06,4.2697,EUR
216/A/NBP/2019,2019-11-07,4.2653,EUR
217/A/NBP/2019,2019-11-08,4.2638,EUR
218/A/NBP/2019,2019-11-12,4.2788,EUR
219/A/NBP/2019,2019-11-13,4.285,EUR
220/A/NBP/2019,2019-11-14,4.2916,EUR
221/A/NBP/2019,2019-11-15,4.2807,EUR
222/A/NBP/2019,2019-11-18,4.2884,EUR
223/A/NBP/2019,2019-11-19,4.2928,EUR
224/A/NBP/2019,2019-11-20,4.2917,EUR
225/A/NBP/2019,2019-11-21,4.2948,EUR
226/A/NBP/2019,2019-11-22,4.2975,EUR
227/A/NBP/2019,2019-11-25,4.299,EUR
228/A/NBP/2019,2019-11-26,4.2999,EUR
229/A/NBP/2019,2019-11-27,4.3107,EUR
230/A/NBP/2019,2019-11-28,4.323,EUR
231/A/NBP/2019,2019-11-29,4.3236,EUR
232/A/NBP/2019,2019-12-02,4.3008,EUR
233/A/NBP/2019,2019-12-03,4.29,EUR
234/A/NBP/2019,2019-12-04,4.2792,EUR
235/A/NBP/2019,2019-12-05,4.2777,EUR
236/A/NBP/2019,2019-12-06,4.2721,EUR
237/A/NBP/2019,2019-12-09,4.283,EUR
238/A/NBP/2019,2019-12-10,4.288,EUR
239/A/NBP/2019,2019-12-11,4.2851,EUR
240/A/NBP/2019,2019-12-12,4.2846,EUR
241/A/NBP/2019,2019-12-13,4.2747,EUR
242/A/NBP/2019,2019-12-16,4.2659,EUR
243/A/NBP/2019,2019-12-17,4.2605,EUR
244/A/NBP/2019,2019-12-18,4.2644,EUR
245/A/NBP/2019,2019-12-19,4.2632,EUR
246/A/NBP/2019,2019-12-20,4.2604,EUR
247/A/NBP/2019,2019-12-23,4.2554,EUR
248/A/NBP/2019,2019-12-24,4.2624,EUR
249/A/NBP/2019,2019-12-27,4.2624,EUR
250/A/NBP/2019,2019-12-30,4.2588,EUR
251/A/NBP/2019,2019-12-31,4.2585,EUR
001/A/NBP/2019,2019-01-02,4.7737,GBP
002/A/NBP/2019,2019-01-03,4.7589,GBP
003/A/NBP/2019,2019-01-04,4.7803,GBP
004/A/NBP/2019,2019-01-07,4.7907,GBP
005/A/NBP/2019,2019-01-08,4.7952,GBP
006/A/NBP/2019,2019-01-09,4.7835,GBP
007/A/NBP/2019,2019-01-10,4.768,GBP
008/A/NBP/2019,2019-01-11,4.755,GBP
009/A/NBP/2019,2019-01-14,4.8073,GBP
010/A/NBP/2019,2019-01-15,4.83,GBP
011/A/NBP/2019,2019-01-16,4.8439,GBP
012/A/NBP/2019,2019-01-17,4.8468,GBP
013/A/NBP/2019,2019-01-18,4.8773,GBP
014/A/NBP/2019,2019-01-21,4.8457,GBP
015/A/NBP/2019,2019-01-22,4.8718,GBP
016/A/NBP/2019,2019-01-23,4.9019,GBP
017/A/NBP/2019,2019-01-24,4.9373,GBP
